OBJECTID,SOG,COG,Heading,ROT,BaseDateTime,Status,VoyageID,MMSI,ReceiverType,ReceiverID,MIKE_UTM_Y,MIKE_UTM_X,lat,lon
27,0,279,511,128,7/16/2011 12:31:00,0,520,366925440,b,003669971,4690826.601258313300000,331873.722973749040000,42.351540000000021,-71.041311999999991
28,0,327,511,128,7/16/2011 12:32:00,0,520,366925440,b,003669713,4690844.260653400800000,331869.367086413320000,42.351698000000027,-71.041370000000001
29,8,28,511,128,7/16/2011 12:33:00,0,520,366925440,b,003669971,4690920.724795164500000,331896.173884737310000,42.352392000000023,-71.041066999999984
30,9,81,511,128,7/16/2011 12:34:00,0,520,366925440,b,003669971,4691099.880217513100000,332083.836073467510000,42.354045000000021,-71.038842000000002
31,10,98,511,128,7/16/2011 12:35:00,0,520,366925440,b,003669971,4691079.911457566500000,332374.674160580150000,42.353927999999996,-71.035307000000003
32,16,96,511,128,7/16/2011 12:36:00,0,520,366925440,b,003669713,4691062.010670622800000,332505.194049282000000,42.353795000000027,-71.033717999999993
33,27,104,511,128,7/16/2011 12:36:00,0,520,366925440,b,003669971,4690992.584476895600000,332960.331285298800000,42.353268000000028,-71.028175000000019
34,27,114,511,128,7/16/2011 12:37:00,0,520,366925440,b,003669713,4690874.216379307200000,333260.367585792210000,42.352267000000005,-71.024500000000003
35,29,128,511,128,7/16/2011 12:37:00,0,520,366925440,b,003669971,4690583.210735812800000,333737.867383481000000,42.349750000000022,-71.018621999999993
36,28,115,511,128,7/16/2011 12:38:00,0,520,366925440,b,003669713,4690066.623130153900000,334406.387959914280000,42.345243000000004,-71.010361999999972
37,29,111,511,128,7/16/2011 12:39:00,0,520,366925440,b,003669713,4689681.196810374000000,335297.256317420860000,42.341963000000000,-70.999442999999985
38,28,102,511,128,7/16/2011 12:40:00,0,520,366925440,b,003669971,4689369.572473527900000,336101.663235272280000,42.339328000000023,-70.989594999999994
39,28,97,511,128,7/16/2011 12:41:00,0,520,366925440,b,003669713,4689209.051085209500000,336976.831548203710000,42.338067000000009,-70.978931999999986
40,28,98,511,128,7/16/2011 12:42:00,0,520,366925440,b,003669713,4689061.786465253700000,337845.662160891110000,42.336923000000056,-70.968350000000001
